Rank,Team,Conf,Region,Rating,MOV+,SOR,E+,G+,A+,BA,EAW,GAW,AAW,Wins,Losses,DIII W,DIII L,Conf W,Conf L,Poll_Index
25,Centre,SAA,3,20.894513054335018,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1.0079481460059816
26,Baldwin Wallace,OAC,4,22.355328801700878,5.241136241885872,0.7932859684040858,0,1,1,0,0.07098282630893182,0.37650832376456334,0.7993164007413246,1,0,1,0,0,0,0.9934534977279904
27,Trinity Texas,SAA,3,24.738035227493935,-1.0157596967544862,0.7979562969402788,0,1,1,0,0.06877482369431465,0.3702724421878415,0.7946647565396862,1,0,1,0,0,0,0.9694111420283346
28,UW-Stout,WIAC,6,29.748529126812638,-8.46568623451138,0.7688241282300023,0,0,1,0,0.08293234948080608,0.40835903638845783,0.8217560474233174,1,0,1,0,0,0,0.906005714956871
29,Alfred,E8,2,7.69268976577651,-5.0239775023506965,0.739746040841205,0,1,1,0,0.09797144791153245,0.444586413716496,0.8448267407150347,1,0,1,0,0,0,0.8843683920589345
30,Coe,ARC,5,27.77401912514196,16.49471622971604,0.994335604313784,1,1,1,0,7.287265771713791e-4,0.021220067581444124,0.19069660980527559,1,0,1,0,0,0,0.8686676063411404
31,Susquehanna,LAND,2,30.52659109036739,-1.1551525874029878,0.9018209014400032,0,1,1,0,0.026030354623915453,0.21511876476056657,0.6424670264973906,1,0,1,0,0,0,0.8119238017234361
32,Christopher Newport,NJAC,2,26.554403506649443,9.656876616703016,0.9143672690080873,0,1,1,0,0.02175486951497052,0.1935366215004234,0.6136744634593243,1,0,1,0,0,0,0.8113497473607706
33,RPI,LL,2,16.610265773239835,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.8012767058637029
34,East Texas Baptist,ASC,3,16.358309056038884,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.7891223519758643
35,Concordia-Moorhead,MIAC,6,15.784034988920377,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.7614194579315677
36,Wheaton Ill.,CCIW,5,35.848872308445486,9.541948232025074,1,0,1,1,0,-0.31780364721767373,-0.05179472669047802,-0.0027050688101240006,0,1,0,1,0,0,0.7487709374073007
37,Muhlenberg,CC,2,19.003604167700225,-0.4423439160893601,0.8936736128703746,0,1,1,0,0.02891802478285843,0.22871287319395261,0.6593734500856131,1,0,1,0,0,0,0.7137018963746575
38,Maryville Tenn.,SAA,3,21.486516198369895,3.606611086591837,0.924423913854362,0,1,1,0,0.018484416283915728,0.1756005855571583,0.5876812131276477,1,0,1,0,0,0,0.6984251281927001
39,Hampden-Sydney,ODAC,3,15.21089821048308,8.04055835328365,0.9104536657022427,0,1,1,0,0.023065734746980704,0.20035826079767538,0.6230510742967971,1,0,1,0,0,0,0.6913706074389112
40,John Carroll,NCAC,4,33.37402615930386,1.2829100781628355,0.9820142461913464,0,1,1,0,0.0029990631118673727,0.055463801514280764,0.3298992101569387,1,0,1,0,0,0,0.6736551714474363
41,Chapman,SCIAC,6,13.248294954460373,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.6390957426173778
42,Rowan,NJAC,2,13.061517511927729,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.6300856270704419
43,Claremont-Mudd-Scripps,SCIAC,6,12.99804161797557,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.6270235595573693
44,Monmouth,MWC,5,12.928298510163554,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.6236591625966451
45,Carnegie Mellon,CC,2,28.173254704749276,-7.206232128723681,0.9594195168609025,0,1,1,0,0.008318715484954886,0.10734397168330068,0.4653630287776247,1,0,1,0,0,0,0.6211007283976425
46,Alma,MIAA,4,28.928876674122105,1.8199041106908815,1,0,1,1,0,-0.4070046950769397,-0.08240071644955504,-0.005496061239717465,0,1,0,1,0,0,0.6036953190244064
47,Brockport,E8,2,21.567696865860047,6.8992947522045895,0.9855900990893153,0,1,1,0,0.002279998416415241,0.04621359492850552,0.2984426891606775,1,0,1,0,0,0,0.5764454147868738
