Rank,Poll_Index,Team,Conf,Region,MOV+,SOR,E+,G+,A+,BA,EAW,GAW,AAW,Wins,Losses,DIII W,DIII L,Conf W,Conf L,Rating
191,NA,Massachusetts Maritime,MASCAC,1,-44.69817243145587,1,0,0,0,1,-0.998948729756074,-0.9726660348617598,-0.7786553899099519,0,1,0,1,0,0,-19.786274601005605
192,NA,Minnesota-Morris,UMAC,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-20.31060606631171
193,NA,Guilford,ODAC,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-20.40653275830206
194,NA,Willamette,NWC,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-20.418731984993812
195,NA,Rockford,NACC,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-20.965476942204226
196,NA,Norwich,NEWMAC,1,-44.08937244966647,1,0,0,0,1,-0.9930415960214893,-0.9041484446715045,-0.5602926619394879,0,1,0,1,0,0,-21.013140966381833
197,NA,Millikin,CCIW,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-21.19449104250824
198,NA,Thiel,PAC,2,-50.674363462282415,1,0,0,0,1,-0.9964189399659469,-0.9376528442838272,-0.6485906807150157,0,1,0,1,0,0,-21.844253639633404
199,NA,Albright,MAC,1,-47.1106241536193,0.999178370277835,0,0,0,1,7.035420294898564e-5,0.003988124444207153,0.06690732527938492,1,0,1,0,0,0,-21.87496819678853
200,NA,Nichols,CNE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-21.924047600974106
201,NA,Averett,ODAC,3,-75.82632880899126,1,0,0,0,1,-0.985597008423694,-0.8490307772539192,-0.4516234425299368,0,1,0,1,0,0,-22.100572077434634
202,NA,Luther,ARC,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-22.52701946598202
203,NA,Roanoke,ODAC,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-24.721142452832623
204,NA,Lyon,SCAC,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-24.906595128510073
205,NA,St. Vincent,PAC,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-25.170224340619647
206,NA,Framingham State,MASCAC,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-25.683801744014232
207,NA,Gallaudet,ODAC,3,-52.002724290199595,1,0,0,0,1,-0.9999442515109613,-0.9966384702702082,-0.940195077788923,0,1,0,1,0,0,-25.793026646347126
208,NA,Martin Luther,UMAC,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-25.81769109207305
209,NA,Keystone,IND,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,-26.272905312466712
210,NA,Hiram,PAC,2,-50.60174228405178,1,0,0,0,1,-0.9287584702216979,-0.622768727366218,-0.20015000595024912,0,1,0,1,0,0,-27.961005406963775
211,NA,Southern Virginia,USAC,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-29.58050986774669
212,NA,Anderson,HCAC,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-30.496421154597975
213,NA,Westfield State,MASCAC,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-30.757706828265054
214,NA,New England College,CNE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-31.013710908179366
215,NA,Eureka,NACC,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-31.151961254908667
216,NA,Grinnell,MWC,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-31.427242234595422
217,NA,Hartwick,E8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-31.687729453964256
218,NA,Knox,MWC,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-33.16033990926822
219,NA,Concordia-Chicago,NACC,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-33.59247562314078
220,NA,Fitchburg State,MASCAC,1,-51.16228331394262,0.9999999833581847,0,0,0,1,3.1642033437861983e-10,2.4757860916935215e-7,5.345840120374312e-5,1,0,1,0,1,0,-34.402553735675866
221,NA,Hilbert,LL,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-36.74114039662619
222,NA,Westminster Mo.,UMAC,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-36.847759458768344
223,NA,Worcester State,MASCAC,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-38.499447603788894
224,NA,Castleton,NJAC,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-38.656063411992015
225,NA,Crown,UMAC,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-40.04860939501058
226,NA,Manchester,HCAC,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-41.968152747305965
227,NA,Oberlin,NCAC,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-42.212333515915375
228,NA,Beloit,MWC,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-44.77474320498573
229,NA,Maine Maritime,CNE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-46.40982102848502
230,NA,Lawrence,MWC,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-46.64670866384481
231,NA,Dean,MASCAC,1,-92.72015124294803,1,0,0,0,1,-0.9999934614944238,-0.9993246085497398,-0.9798723765790563,0,1,0,1,0,1,-58.03452722053155
232,NA,Trinity Conn.,NESCAC,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,9.812622379771469
233,NA,Tufts,NESCAC,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,4.047613983450922
234,NA,Williams,NESCAC,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,3.7979330526722648
235,NA,Middlebury,NESCAC,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,3.663250313412154
236,NA,Bowdoin,NESCAC,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1.8110617753389122
237,NA,Wesleyan,NESCAC,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,2.0245645492878515
238,NA,Colby,NESCAC,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.04466600426061129
239,NA,Bates,NESCAC,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-5.863329554244596
240,NA,Amherst,NESCAC,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-8.494752443806842
241,NA,Hamilton,NESCAC,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-10.843630060142747
